"HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT  ,,,,,,,,,,,,
,,,,,,,,,,,,
FILE NAME : RECTYPE.DOC,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 1,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM  TO,VALUE DESCRIPTION,REMARKS,,,,
,"A1) QUESTION-43, CONVIENCE", ,Q-43C,6,   N, 147  - 152 ,       ,,,,,
,"B1) QUESTION-43, PRIVATE",,Q-43PR,6,   N, 153  - 158,,,,,,
,"C1) QUESTION-43, FOOD", ,Q-43FD,6,   N, 159  - 164 ,       ,,,,,
,"D1) QUESTION-43,OTHERS",,Q-43OT,6,   N, 165  - 170,,,,,,
,"E1) QUESTION-43, TOTAL", ,Q-43TOT,6,   N,171 -  176,       ,,,,,
,F1) QUESTION-44,,Q-44,1,   N,177  - 177,,,,,,
,G1) QUESTION-45,,Q-45,1,   N,178 -  178,       ,,,,,
,H1) QUESTION-46,,Q-46,6,   N,179  - 184,,,,,,
,I1) QUESTION-47,,Q-47,1,   N,185 -  185,       ,,,,,
,J1) QUESTION-48,,Q-48,1,   N,186  - 186,,,,,,
,K1) QUESTION-49,,Q-49,3,   N,187  - 189,       ,,,,,
,L1) QUESTION-50,,Q-50,3,   N,190  - 192,,,,,,
,M1) QUESTION-51,,Q-51,1,   N,193 -  193,       ,,,,,
,N1) QUESTION-52,,Q-52,6,   N,194  - 199,,,,,,
,O1) QUESTION-53,,Q-53,1,   N,200  - 200 ,       ,,,,,
,P1) QUESTION-54,,Q-54,1,   N,201  - 201,,,,,,
,Q1) QUESTION-55,,Q-55,1,   N,202  - 202 ,       ,,,,,
,R1) QUESTION-56,,Q-56,4,   N,203 - 206,,,,,,
8,SECTION-5 (PAGE-32),,,   ,   ,,,,,,,
,A)  QUESTION-57,,Q-57,1,   N,207 -207,       ,,,,,
,B)  QUESTION-58,,Q-58,2,   N,208 - 209,,,,,,
,C)  QUESTION-59,,Q-59,1,   N,210-  210,       ,,,,,
,"D)  QUESTION-60, YEAR",,Q-60Y,2,  N,211 - 212,,,,,,
,"E)  QUESTION-60, MONTH", ,Q-60M,2,   N,213 - 214 ,       ,,,,,
,F)  QUESTION-61,,Q-61,1,   N,215 - 215,,,,,,
,G)  QUESTION-62, ,Q-62,1,   N,216 - 216 ,       ,,,,,
,H)  QUESTION-63,,Q-63,1,   N,217 - 217,,,,,,
9,BLANK, ,,3,   C,218  - 220,,,,,,
,,,,,,,,,,,,
"HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 2,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM     TO,VALUE DESCRIPTION,REMARKS,,,,
1,IDENTIFICATION :-, ,, , ,,,,,,,
,I) SURVEY MONTH,Cover page (front),MON,2,  N,      1    -   2,09/01/91,,,,,
,ii)  URBAN/RURAL CODE,         “,UR,1,  N,      3    -   3,"URBAN,SMA=1,OLD POURASHAVA=2,NEW POURASHAVA=3, RURAL=4",,,,,
,iii) DIVISION CODE,          “,DIV,1,  N,     4    -   4," CHITTAGONG=1,DHAKA=2, KHULNA=3,RAJSHAHI=4,BARISAL=5",,,,,
,iv)  REGION CODE ,          “,REGION,2,  N,     5  -     6, ,,,,,
,v)   SUBSTRATUM,         “,S-STRAM,2,  N,     7   -    8,,,,,,
,vi) P.S.U  CODE,           “,PSU,2,  N,     9  -    10, ,,,,,
,vii)HOUSEHOLD NUMBER,           “,HHNO,2,   N ,     11  -  12, ,,,,,
2,RECORD TYPE, Left top corner,RECTP   ,1,   N,      13  -  13,ALWAYS ’9’,,,,,
3,RECORD SERIAL,          “,RECSL,2,   N,      14  -  15,"01 for 1st record, 02 for 2nd record etc.",,,,,
,OTHER INFORMATION OF EACH RECORD,,RECINFO,65,  C,     16  -  80,,,,,,
4,LAND INFORMATION:,         ,,,,"
",,,,,,
,i)  OWN LAND ,Page 9,OWNLAND,7,  N,   18  - 21 ,2 decimal  places      ,,,,,
.,ii) GIVEN LAND,Page 9,GINLAND,7,  N,   24  -  27,         “,,,,,
,iii) TAKEN LAND,Page 9,TAKLAND,7,  N,   30  -  33,         “             ,,,,,
,iv) TOTAL LAND,Page 9,BARGA,7,  N,   36  -  39,          “,,,,,
,v)  TEMPORARY LAND ,page 9,OPERAT,7,  N,   42  -  45,        “,,,,,
5,WALL,Page 9,WALL,1,  N,   52  -  52,,,,,,
6,ROOF,Page 9,ROOF,1,  N,   53  -  53,           “,,,,,
9,RELIGION OF HEAD,Page 9,REL,1,  N,   61  -  61,"1=Muslim,2=Hindu,3=Buddist,4=Chistian,5= Others",,,,,
11,LATRINE FACALITY,page 9,LAT,1,  N,   63  -  63,"1=pucca,2=temporary,3=open",,,,,
10,SOURCE OF WATER,page 9,SWATER,1,  N,   62  -  62,"1=supply water,2=tube-well,3=well,4=pond/river",,,,,
11,ELECTRICITY,page 9,ELECT,1,  N,   63  -  63,,,,,,
12,BLANK, ,,158,  C,   63  - 220,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 3,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM     TO,VALUE DESCRIPTION,REMARKS,,,,
1,IDENTIFICATION :-, ,, , ,,,,,,,
,I) SURVEY MONTH,cover page (front),MON,,,,,,2,  N, 1    -   2,
,ii)  DIVISION CODE,          “,DIV,,,,,,1,  N, 3    -   3,"CHITTAGONG=1, DHAKA=2,KHULNA = 3, RAJSHAHI = 4,BARISAL-5,SYLHET=6"
,iii)  REGION CODE ,          “,REGION,,,,,,2,  N, 4  -     5, 
,iv)   DISTRICT,          “,DIST,,,,,,2,,6   -    7,
,v)   THANA,          “,THANA,,,,,,2,  N,8    -   9,
,vi)  UNION/WARD,           “,UNWA,,,,,,2,  N,10  -   11, 
,vii) MOUZA/MOHALLA(PSU),          “,MOUZA,,,,,,3,  N,12  -  14,
,viii) URBAN/RURAL CODE (RMO),          “,UR,,,,,,1,  N,15   -  15,"1=RURAL, 2=MUNICIPALITY, 4=SMA (URBAN=2 & 4)"
,ix) HOUSEHOLD NUMBER,           “,HHNO,,,,,,3,  N,16  -   18,01 - 20
2,RECORD TYPE, Left top corner,RECTP,,,,,,1,  N,19   -   19,ALWAYS ’3’
3,RECORD SERIAL,          “,RECSL,,,,,,2,  N,20  -    21,"01 for 1st record, 02 for 2nd record etc."
,OTHER INFORMATION OF RECORD:-,,RECINFO,,,,,,199,  C,22  -   220,
4,PURCHASE  INFORMATION-1:-,         ,,,,,,,,,,
,i)  ITEM CODE-1,"Page-36-43, Col-1",ICOD1,3,  N,   12 -  24,Printed code,,,,,
,ii)QUANTITY PURCHASE-1,"Page-36-43
",QTY1,8,  N,   25 -  32, no decimal places ,,,,,
 ,Iii)  PURCHASE VALUE-1,Page-36-43,PVAL1,8,  N,   33 -  40,"           """,,,,,
,Iv) QUANTITY HOME MADE-1,"Page-36-43
",HQTY1,8,  N,   41 -  48,"           """,,,,,
 ,v) HOME MADE VALUE-1,"Page-36-43
",HVAL1,8,  N,   49 -  56,"           """,,,,,
,vi)  TOTAL QUANTITY-1 ,"Page-36-43
",TQTY1,8,  N,   57 -  64,"           """,,,,,
 ,vii)  TOTAL VALUE-1,Page-36-43,TVAL1,8,  N,   65 -  72,"           """,,,,,
5,PURCHASE  INFORMATION-2:-,         ,,,,,,,,,,
,i)  ITEM CODE-2,"Page-36-43, Col-1",ICOD2,3,  N,   73 -  75,Printed code,,,,,
,ii)QUANTITY PURCHASE-2,"Page-36-43
",QTY2,8,  N,   76 -  83, no decimal places ,,,,,
 ,iii)  PURCHASE VALUE-2,Page-36-43,PVAL2,8,  N,   84 -  91,"           """,,,,,
,iv) QUANTITY HOME MADE-2,"Page-36-43
",HQTY2,8,  N,   92 -  99,"           """,,,,,
 ,v) HOME MADE VALUE-2,"Page-36-43
",HVAL2,8,  N,  100 - 107,"           """,,,,,
,vi)  TOTAL QUANTITY-2 ,"Page-36-43
",TQTY2,8,  N,  108 - 115,"           """,,,,,
 ,vii)  TOTAL VALUE-21,Page-36-43,TVAL2,8,  N, 116 - 123,"           """,,,,,
6,PURCHASE  INFORMATION-3:-,         ,,,,,,,,,,
,i)  ITEM CODE-3,"Page-36-43, Col-1",ICOD3,3,  N, 124 - 126,Printed code,,,,,
,ii)QUANTITY PURCHASE-3,"Page-36-43
",QTY3,8,  N, 127 - 134, no decimal places ,,,,,
 ,iii)  PURCHASE VALUE-3,Page-36-43,PVAL3,8,  N, 135 -  142,"           """,,,,,
,iv) QUANTITY HOME MADE-3,"Page-36-43
",HQTY3,8,  N, 143 -  150,"           """,,,,,
 ,v) HOME MADE VALUE-3,"Page-36-43
",HVAL3,8,  N, 151 -  158,"           """,,,,,
,vi)  TOTAL QUANTITY-3 ,"Page-36-43
",TQTY3,8,  N, 159 -  166,"           """,,,,,
 ,vii)  TOTAL VALUE-3,Page-36-43,TVAL3,8,  N, 167 -  174,"           """,,,,,
7, B L A N K,,,46, C, 175  - 220,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 4,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM     TO,VALUE DESCRIPTION,REMARKS,,,,
1,IDENFIFICATION :-,,,,,,,,,,,
,i)  SURVEY MONTH,Cover page (front),MON,2,  N,     1   -   2,,,,,,
,ii) DIVISION CODE,          “,DIV,1,  N,     3    -   3,"CHITTAGONG=1,DHAKA=2, KHULNA=3, RAJSHAHI=4,BARISAL-5,SYLHET=6",,,,,
,iii)  REGION  CODE ,          “,REGION,2,  N,     4  -     5, ,,,,,
,iv)   DISTRICT,,DIST,2,  N,     6  -     7,,,,,,
,v)   THANA,,THANA,2,  N,     8  -     9,,,,,,
,vi)   UNION/WARD,,UNWA,2,  N,    10  -  11,,,,,,
,vii)   MOUZA/MOHALLA,,MOUZA,3,  N,    12  -  14,,,,,,
,viii)  URBAN/RURAL CODE (RMO),         “,UR,1,  N,     15 -  15,"RURAL=1,MUNICIPALITY=2,SMA=4 (URBAN= 2 & 4)",,,,,
,ix)HOUSEHOLD NUMBER,           “,HHNO ,3,   N ,   16  -   18, ,,,,,
2,RECORD TYPE, Left top corner,RECTP   ,1,   N,   19   -  19,ALWAYS ’4’,,,,,
3,RECORD SERIAL,          “,RECSL,2,   N,   20  -  21,"01 for 1st record, 02 for 2nd record etc.",,,,,
,OTHER INFORMATION OF EACH RECORD:-,,RECINFO,199,  C,    22 - 220,,,,,,
4,ITEM INFORMATION-1:-,         ,,,,,,,,,,
,i)  ITEM CODE-1,"Page-44-46, Col-1",COD1,2,  N,   22   -  23,Printed code,,,,,
,ii)  QUANTITY-1,Page-44-46,QTY1,5,  N,   24  -  28 ,No decimal places       ,,,,,
,iii)  VALUE-1,Page-44-46,VAL1,10,  N,   29  -  38 ,"         ""       ",,,,,
5,ITEM INFORMATION-2:-,         ,,,,,,,,,,
,i)  ITEM CODE-2,"Page-44-46, Col-1",COD2,2,  N,   39   -  40,Printed code,,,,,
,ii)  QUANTITY-2,Page-44-46,QTY2,5,  N,   41  -  45 ,No decimal places       ,,,,,
,iii)  VALUE-2,Page-44-46,VAL2,10,  N,   46  -  55 ,"         ""       ",,,,,
6,ITEM INFORMATION-3:-,         ,,,,,,,,,,
,i)  ITEM CODE-3,"Page-44-46, Col-1",COD3,2,  N,   56   -  57,Printed code,,,,,
,ii)  QUANTITY-3,Page-44-46,QTY3,5,  N,   58  -  62 ,No decimal places       ,,,,,
,iii)  VALUE-3,Page-44-46,VAL3,10,  N,   63  -  72 ,"         ""       ",,,,,
7,ITEM INFORMATION-4:-,         ,,,,,,,,,,
,i)  ITEM CODE-4,"Page-44-46, Col-1",COD4,2,  N,   73   -  74,Printed code,,,,,
,ii)  QUANTITY-4,Page-44-46,QTY4,5,  N,   75  -  79 ,No decimal places       ,,,,,
,iii)  VALUE-4,Page-44-46,VAL4,10,  N,   80  -  89 ,"         ""       ",,,,,
8,ITEM INFORMATION-5:-,         ,,,,,,,,,,
,i)  ITEM CODE-5,"Page-44-46, Col-1",COD5,2,  N,   90   -  91,Printed code,,,,,
,ii)  QUANTITY-5,Page-44-46,QTY5,5,  N,   92  -  96 ,No decimal places       ,,,,,
,iii)  VALUE-5,Page-44-46,VAL5,10,  N,   97  - 106 ,"         ""       ",,,,,
9,ITEM INFORMATION-6:-,         ,,,,,,,,,,
,i)  ITEM CODE-6,"Page-44-46, Col-1",COD6,2,  N,   107 - 108,Printed code,,,,,
,ii)  QUANTITY-6,Page-44-46,QTY6,5,  N,   109  - 113 ,No decimal places       ,,,,,
,iii)  VALUE-6,Page-44-46,VAL6,10,  N,   114  - 123 ,"         ""       ",,,,,
10,ITEM INFORMATION-7:-,         ,,,,,,,,,,
,i)  ITEM CODE-7,"Page-44-46, Col-1",COD7,2,  N,   124   -125,Printed code,,,,,
,ii)  QUANTITY-7,Page-44-46,QTY7,5,  N,   126  - 130 ,No decimal places       ,,,,,
,iii)  VALUE-7,Page-44-46,VAL7,10,  N,   131 -  140 ,"         ""       ",,,,,
11,ITEM INFORMATION-8:-,         ,,,,,,,,,,
,i)  ITEM CODE-8,"Page-44-46, Col-1",COD8,2,  N,   141   -142,Printed code,,,,,
,ii)  QUANTITY-8,Page-44-46,QTY8,5,  N,   143 -  147 ,No decimal places       ,,,,,
,iii)  VALUE-8,Page-44-46,VAL8,10,  N,   148 -  157 ,"         ""       ",,,,,
12,ITEM INFORMATION-9:-,         ,,,,,,,,,,
,i)  ITEM CODE-9,"Page-44-46, Col-1",COD9,2,  N,   158   -159,Printed code,,,,,
,ii)  QUANTITY-9,Page-44-46,QTY9,5,  N,   160 -  164 ,No decimal places       ,,,,,
,iii)  VALUE-9,Page-44-46,VAL9,10,  N,   165 -  174 ,"         ""       ",,,,,
13,ITEM INFORMATION-10:-,         ,,,,,,,,,,
,i)  ITEM CODE-10,"Page-44-46, Col-1",COD10,2,  N,   175   -176,Printed code,,,,,
,ii)  QUANTITY-10,Page-44-46,QTY10,5,  N,   177 -  181 ,No decimal places       ,,,,,
,iii)  VALUE-10,Page-44-46,VAL10,10,  N,   182 -  191 ,"         ""       ",,,,,
14,ITEM INFORMATION-11:-,         ,,,,,,,,,,
,i)  ITEM CODE-11,"Page-44-46, Col-1",COD11,2,  N,   192  - 193,Printed code,,,,,
,ii)  QUANTITY-11,Page-44-46,QTY11,5,  N,   194  - 198 ,No decimal places       ,,,,,
,iii)  VALUE-11,Page-44-46,VAL11,10,  N,   199  - 208 ,"         ""       ",,,,,
15, B L A N K,,,12,  C, 209   - 220,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"HOUSEHOLD EXPENDITURE SURVEY ,1995-96",,,,,,,,,,,,
RECORD LAYOUT OF DATA FILE HESBAS.DAT AND HESSHT.DAT,,,,,,,,,,,,
,,,,,,,,,,,,
RECORD TYPE - 5,,,,,,,,,,,,
SL.NO     ,FIELD DESCRIPTION,QUESTIONNAIRE REF.                                  ,FIELD NAME,LENGTH,DATA TYPE,POSITION FROM     TO,VALUE DESCRIPTION,REMARKS,,,,
1,IDENTIFICATION :-, ,, , ,,,,,,,
,i)   SURVEY MONTH,Cover page (front),MON,2,  N,     1    -   2,,,,,,
,ii)  DIVISION CODE,          “,DIV,1,  N,     3    -  3,"CHITTAGONG=2,DHAKA=2,KHULNA=3,RAJSHAHI=4,BARISAL-5,SYLHET=6",,,,,
,iii)  REGION CODE,         “,REGION ,2,  N,    4   -    5,,,,,,
,iv)  DISTRICT ,          “,DIST,2,  N,    6  -      7,,,,,,
,v)  THANA ,          “,THANA,2,  N,    8  -      9,,,,,,
,vi)  UNION/WARD ,          “,UNWA,2,  N,  10  -     11,,,,,,
,vii)  MOUZA/MOHALLA,           “,MOUZA,3,  N,  12   -    14, ,,,,,
,viii)  URBAN/RURAL CODE (RMO),         “,UR,1,  N,  15   -   15,"RURAL=4,MUNICIPALITY=2,SMA=4(URBAN= 2 & 4)",,,,,
,ix) HOUSEHOLD NUMBER,           “,HHNO,3,   N ,   16  -    18, ,,,,,
2,RECORD TYPE, Left top corner,RECTP   ,1,   N,   19   -   19,ALWAYS ’5’,,,,,
3,RECORD SERIAL,          “,RECSL,2,   N,   20  -    21,"01 for 1st record, 02 for 2nd record etc.",,,,,
,OTHER INFORMATION OF EACH RECORD:-,,RECINFO,199,   C,   22 -  220,,,,,,
4,PURCHASE INFORMATION-1:-,         ,,,,,,,,,,
,i)  ITEM CODE-1,"Page-47-48, Col-2",ICOD1,2,  N,   22  -  23,Printed code,,,,,
 ,ii)  QUANTITY-1,"Page 47-48, Col-4 ",QTY1,9,  N,   24  -  32, no decimal Placess,,,,,
 ,iii)  VALUE-1,"Page 47-48, Col-5         ",VAL1,9,  N,   33  -  41,"          """,,,,,
,iv) QUANTITY CONSUMED-1,"Page-47-48,,Col-6",CON1,9,  N,   42  -  50,"          """,,,,,
,V) VALUE CONSUMED-1,"Page-47-48,,Col-7",CVAL1,9,  N,   51  -  59,"          """,,,,,
 ,Vi)  QUANTITY SOLD-1,"Page 47-48, Col-8",QSOLD1,9,  N,   60  -  68,"          """,,,,,
,Vii) VALUE SOLD-1,"Page-47-48,,Col-9",VSOLD1,9,  N,   69  -  77,"          """,,,,,
   ,viii) QUANTITY NOT  SOLD-1,"Page 47-48, Col-10         ",QNSOLD1,9,  N,   78  -  86,"          """,,,,,
,ix) VALUE NOT SOLD-1,"Page-47-48,,Col-11",VNSOLD1,9,  N,   87 -  95,"         """,,,,,
5,PURCHASE INFORMATION-1:-,         ,,,,,,,,,,
,i)  ITEM CODE-1,"Page-47-48, Col-2",ICOD1,2,  N,   22  -  23,Printed code,,,,,
 ,ii)  QUANTITY-1,"Page 47-48, Col-4 ",QTY1,9,  N,   24  -  32, no decimal Placess,,,,,
 ,iii)  VALUE-1,"Page 47-48, Col-5         ",VAL1,9,  N,   33  -  41,"          """,,,,,
,iv) QUANTITY CONSUMED-1,"Page-47-48,,Col-6",CON1,9,  N,   42  -  50,"          """,,,,,
,V) VALUE CONSUMED-1,"Page-47-48,,Col-7",CVAL1,9,  N,   51  -  59,"          """,,,,,
 ,Vi)  QUANTITY SOLD-1,"Page 47-48, Col-8",QSOLD1,9,  N,   60  -  68,"          """,,,,,
,Vii) VALUE SOLD-1,"Page-47-48,,Col-9",VSOLD1,9,  N,   69  -  77,"          """,,,,,
   ,viii) QUANTITY NOT  SOLD-1,"Page 47-48, Col-10         ",QNSOLD1,9,  N,   78  -  86,"          """,,,,,
,ix) VALUE NOT SOLD-1,"Page-47-48,,Col-11",VNSOLD1,9,  N,   87 -  95,"         """,,,,,
6,PURCHASE INFORMATION-2:-,         ,,,,,,,,,,
,i)  ITEM CODE-2,"Page-47-48, Col-2",ICOD2,2,  N,   96  -  97,Printed code,,,,,
 ,ii)  QUANTITY-2,"Page 47-48, Col-4 ",QTY2,9,  N,  98  - 106, no decimal Placess,,,,,
 ,iii)  VALUE-2,"Page 47-48, Col-5         ",VAL2,9,  N, 107  - 115,"          """,,,,,
